previous,current,gap_minutes,previous_date,current_date,previous_year,current_year,previous_month,current_month,previous_weekday,current_weekday,previous_minute,current_minute,previous_open,previous_high,previous_low,previous_close,current_open,current_high,current_low,current_close,family_id,previous_clock,current_clock,anchor_previous_clock,anchor_current_clock,previous_clock_shift_minutes,current_clock_shift_minutes
2021-11-04 20:58:00,2021-11-04 22:01:00,63.0,2021-11-04,2021-11-04,2021,2021,11,11,Thursday,Thursday,1258,1321,1791.654,1791.733,1791.62,1791.653,1791.107,1791.274,1791.107,1791.134,P30_C35_D64,20:58,22:01,20:57,22:01,1,0
2021-11-08 21:58:00,2021-11-08 23:01:00,63.0,2021-11-08,2021-11-08,2021,2021,11,11,Monday,Monday,1318,1381,1824.088,1824.201,1824.088,1824.199,1824.825,1824.825,1824.703,1824.714,P33_C39_D64,21:58,23:01,21:57,23:01,1,0
2021-11-09 21:58:00,2021-11-09 23:01:00,63.0,2021-11-09,2021-11-09,2021,2021,11,11,Tuesday,Tuesday,1318,1381,1831.627,1831.752,1831.52,1831.752,1831.823,1831.882,1831.722,1831.769,P33_C39_D64,21:58,23:01,21:57,23:01,1,0
2021-11-10 21:58:00,2021-11-10 23:01:00,63.0,2021-11-10,2021-11-10,2021,2021,11,11,Wednesday,Wednesday,1318,1381,1848.848,1849.276,1848.845,1849.2,1849.69,1849.69,1849.426,1849.431,P33_C39_D64,21:58,23:01,21:57,23:01,1,0
2021-11-11 21:58:00,2021-11-11 23:01:00,63.0,2021-11-11,2021-11-11,2021,2021,11,11,Thursday,Thursday,1318,1381,1862.014,1862.02,1861.771,1861.816,1861.684,1861.812,1861.616,1861.616,P33_C39_D64,21:58,23:01,21:57,23:01,1,0
2021-11-15 21:58:00,2021-11-15 23:01:00,63.0,2021-11-15,2021-11-15,2021,2021,11,11,Monday,Monday,1318,1381,1862.709,1862.731,1862.642,1862.731,1862.818,1862.903,1862.808,1862.882,P33_C39_D64,21:58,23:01,21:57,23:01,1,0
2021-11-16 21:58:00,2021-11-16 23:01:00,63.0,2021-11-16,2021-11-16,2021,2021,11,11,Tuesday,Tuesday,1318,1381,1850.229,1850.454,1850.157,1850.454,1850.191,1850.312,1850.161,1850.312,P33_C39_D64,21:58,23:01,21:57,23:01,1,0
2021-11-17 21:58:00,2021-11-17 23:01:00,63.0,2021-11-17,2021-11-17,2021,2021,11,11,Wednesday,Wednesday,1318,1381,1867.366,1867.481,1867.27,1867.312,1866.819,1866.822,1866.603,1866.72,P33_C39_D64,21:58,23:01,21:57,23:01,1,0
2021-11-18 21:58:00,2021-11-18 23:01:00,63.0,2021-11-18,2021-11-18,2021,2021,11,11,Thursday,Thursday,1318,1381,1858.756,1858.874,1858.58,1858.874,1859.124,1859.124,1859.083,1859.083,P33_C39_D64,21:58,23:01,21:57,23:01,1,0
2021-11-22 21:58:00,2021-11-22 23:01:00,63.0,2021-11-22,2021-11-22,2021,2021,11,11,Monday,Monday,1318,1381,1804.489,1805.03,1804.382,1804.791,1807.139,1807.972,1807.127,1807.709,P33_C39_D64,21:58,23:01,21:57,23:01,1,0
2021-11-23 21:58:00,2021-11-23 23:01:00,63.0,2021-11-23,2021-11-23,2021,2021,11,11,Tuesday,Tuesday,1318,1381,1789.02,1789.07,1788.899,1789.013,1789.209,1789.243,1789.147,1789.233,P33_C39_D64,21:58,23:01,21:57,23:01,1,0
2021-11-24 21:58:00,2021-11-24 23:01:00,63.0,2021-11-24,2021-11-24,2021,2021,11,11,Wednesday,Wednesday,1318,1381,1788.731,1788.737,1788.388,1788.522,1788.695,1788.695,1788.188,1788.193,P33_C39_D64,21:58,23:01,21:57,23:01,1,0
2021-11-29 21:58:00,2021-11-29 23:01:00,63.0,2021-11-29,2021-11-29,2021,2021,11,11,Monday,Monday,1318,1381,1784.622,1784.913,1784.594,1784.634,1785.097,1785.158,1784.9,1785.158,P33_C39_D64,21:58,23:01,21:57,23:01,1,0
2021-11-30 21:58:00,2021-11-30 23:01:00,63.0,2021-11-30,2021-11-30,2021,2021,11,11,Tuesday,Tuesday,1318,1381,1774.222,1774.976,1774.222,1774.825,1774.947,1775.139,1774.908,1775.024,P33_C39_D64,21:58,23:01,21:57,23:01,1,0
2021-12-01 21:58:00,2021-12-01 23:01:00,63.0,2021-12-01,2021-12-01,2021,2021,12,12,Wednesday,Wednesday,1318,1381,1781.838,1781.94,1781.76,1781.794,1781.574,1781.871,1781.574,1781.763,P33_C39_D64,21:58,23:01,21:57,23:01,1,0
2021-12-02 21:58:00,2021-12-02 23:01:00,63.0,2021-12-02,2021-12-02,2021,2021,12,12,Thursday,Thursday,1318,1381,1768.033,1768.316,1768.033,1768.199,1769.678,1769.794,1769.479,1769.794,P33_C39_D64,21:58,23:01,21:57,23:01,1,0
2021-12-06 21:58:00,2021-12-06 23:01:00,63.0,2021-12-06,2021-12-06,2021,2021,12,12,Monday,Monday,1318,1381,1778.359,1778.537,1778.359,1778.394,1778.81,1778.892,1778.809,1778.887,P33_C39_D64,21:58,23:01,21:57,23:01,1,0
2021-12-07 21:58:00,2021-12-07 23:01:00,63.0,2021-12-07,2021-12-07,2021,2021,12,12,Tuesday,Tuesday,1318,1381,1783.954,1784.067,1783.915,1784.067,1784.417,1784.443,1784.365,1784.365,P33_C39_D64,21:58,23:01,21:57,23:01,1,0
2021-12-08 21:58:00,2021-12-08 23:01:00,63.0,2021-12-08,2021-12-08,2021,2021,12,12,Wednesday,Wednesday,1318,1381,1782.625,1783.127,1782.621,1782.96,1783.095,1783.139,1783.077,1783.109,P33_C39_D64,21:58,23:01,21:57,23:01,1,0
2021-12-09 21:58:00,2021-12-09 23:01:00,63.0,2021-12-09,2021-12-09,2021,2021,12,12,Thursday,Thursday,1318,1381,1775.075,1775.236,1775.075,1775.13,1775.884,1776.16,1775.876,1776.09,P33_C39_D64,21:58,23:01,21:57,23:01,1,0
2021-12-13 21:58:00,2021-12-13 23:01:00,63.0,2021-12-13,2021-12-13,2021,2021,12,12,Monday,Monday,1318,1381,1786.707,1786.707,1786.495,1786.653,1786.227,1786.227,1786.124,1786.163,P33_C39_D64,21:58,23:01,21:57,23:01,1,0
2021-12-14 21:58:00,2021-12-14 23:01:00,63.0,2021-12-14,2021-12-14,2021,2021,12,12,Tuesday,Tuesday,1318,1381,1770.397,1770.643,1770.397,1770.589,1771.209,1771.345,1771.209,1771.345,P33_C39_D64,21:58,23:01,21:57,23:01,1,0
2021-12-15 21:58:00,2021-12-15 23:01:00,63.0,2021-12-15,2021-12-15,2021,2021,12,12,Wednesday,Wednesday,1318,1381,1777.217,1777.217,1776.846,1777.05,1778.209,1778.223,1777.763,1777.875,P33_C39_D64,21:58,23:01,21:57,23:01,1,0
2021-12-16 21:58:00,2021-12-16 23:01:00,63.0,2021-12-16,2021-12-16,2021,2021,12,12,Thursday,Thursday,1318,1381,1799.234,1799.296,1799.083,1799.15,1799.05,1799.05,1798.731,1798.769,P33_C39_D64,21:58,23:01,21:57,23:01,1,0
2021-12-20 21:58:00,2021-12-20 23:01:00,63.0,2021-12-20,2021-12-20,2021,2021,12,12,Monday,Monday,1318,1381,1790.512,1790.895,1790.483,1790.856,1791.386,1791.739,1791.311,1791.618,P33_C39_D64,21:58,23:01,21:57,23:01,1,0
2021-12-21 21:58:00,2021-12-21 23:01:00,63.0,2021-12-21,2021-12-21,2021,2021,12,12,Tuesday,Tuesday,1318,1381,1788.762,1788.914,1788.762,1788.865,1789.083,1789.09,1789.062,1789.09,P33_C39_D64,21:58,23:01,21:57,23:01,1,0
2021-12-22 21:58:00,2021-12-22 23:01:00,63.0,2021-12-22,2021-12-22,2021,2021,12,12,Wednesday,Wednesday,1318,1381,1803.543,1803.581,1803.468,1803.537,1803.966,1803.966,1803.753,1803.809,P33_C39_D64,21:58,23:01,21:57,23:01,1,0
2021-12-27 21:58:00,2021-12-27 23:01:00,63.0,2021-12-27,2021-12-27,2021,2021,12,12,Monday,Monday,1318,1381,1812.114,1812.114,1811.814,1811.839,1811.469,1811.529,1811.442,1811.522,P33_C39_D64,21:58,23:01,21:57,23:01,1,0
2021-12-28 21:58:00,2021-12-28 23:01:00,63.0,2021-12-28,2021-12-28,2021,2021,12,12,Tuesday,Tuesday,1318,1381,1805.941,1806.149,1805.941,1806.118,1806.195,1806.382,1806.016,1806.358,P33_C39_D64,21:58,23:01,21:57,23:01,1,0
2021-12-29 21:58:00,2021-12-29 23:01:00,63.0,2021-12-29,2021-12-29,2021,2021,12,12,Wednesday,Wednesday,1318,1381,1803.745,1804.415,1803.745,1804.36,1804.385,1804.385,1804.177,1804.205,P33_C39_D64,21:58,23:01,21:57,23:01,1,0
2021-12-30 21:58:00,2021-12-30 23:01:00,63.0,2021-12-30,2021-12-30,2021,2021,12,12,Thursday,Thursday,1318,1381,1814.756,1814.756,1814.465,1814.578,1815.052,1815.138,1814.952,1814.952,P33_C39_D64,21:58,23:01,21:57,23:01,1,0
2022-01-03 21:58:00,2022-01-03 23:01:00,63.0,2022-01-03,2022-01-03,2022,2022,1,1,Monday,Monday,1318,1381,1800.933,1801.227,1800.933,1801.227,1802.262,1802.618,1802.226,1802.44,P33_C39_D64,21:58,23:01,21:57,23:01,1,0
